CADCellName,Label,X,Y,Z,XANG,YANG,ZANG,SC_X,SC_Y,L,K0L,K1L,K2L,K3L
OUTCPAF,OUTCPAF,7.86263685,0,1005.605098,0,-0.610865238,0,0.006707612,0.007271007,0,0,0,0,0
L0AF__7,L0AF__7,7.86263685,0,1005.605098,0,-0.610865238,0,0.006707612,0.007271007,0.060919,0,0,0,0
FLNGAF2,FLNGAF2,7.827695147,0,1005.655,0,-0.610865238,0,0.00674269,0.007308146,0,0,0,0,0
L0AFWAKE,L0AFWAKE,7.827695147,0,1005.655,0,-0.610865238,0,0.00674269,0.007308146,0,0,0,0,0
L0AFEND,L0AFEND,7.827695147,0,1005.655,0,-0.610865238,0,0.00674269,0.007308146,0,0,0,0,0
DL02,DL02,7.827695147,0,1005.655,0,-0.610865238,0,0.00674269,0.007308146,0.2309416,0,0,0,0
QA10361,QA10361,7.695232487,0,1005.844177,0,-0.610865238,0,0.007103347,0.007695411,0.054,0,-0.559251,0,0
QA10361,QA10361,7.664259359,0,1005.888411,0,-0.610865238,0,0.007295864,0.007669783,0.054,0,-0.559251,0,0
DL03A,DL03A,7.633286232,0,1005.932645,0,-0.610865238,0,0.007709346,0.007413181,0.094484,0,0,0,0
PH10365,PH10365,7.579092436,0,1006.010042,0,-0.610865238,0,0.00863251,0.00676577,0,0,0,0,0
DL03B,DL03B,7.579092436,0,1006.010042,0,-0.610865238,0,0.00863251,0.00676577,0.125892,0,0,0,0
QA10371,QA10371,7.506883751,0,1006.113166,0,-0.610865238,0,0.009862768,0.005903635,0.054,0,0.6595668,0,0
BPM10371,BPM10371,7.475910623,0,1006.157401,0,-0.610865238,0,0.010212285,0.005637307,0,0,0,0,0
QA10371,QA10371,7.475910623,0,1006.157401,0,-0.610865238,0,0.010212285,0.005637307,0.054,0,0.6595668,0,0
DL04,DL04,7.444937496,0,1006.201635,0,-0.610865238,0,0.010199182,0.005572526,0.065888,0,0,0,0
L0BFBEG,L0BFBEG,7.407145691,0,1006.255607,0,-0.610865238,0,0.009960862,0.00561491,0,0,0,0,0
FLNGBF1,FLNGBF1,7.407145691,0,1006.255607,0,-0.610865238,0,0.009960862,0.00561491,0,0,0,0,0
L0BF__1,L0BF__1,7.407145691,0,1006.255607,0,-0.610865238,0,0.009960862,0.00561491,0.058646,0,0,0,0
DLFDBF,DLFDBF,7.373507728,0,1006.303647,0,-0.610865238,0,0.009647456,0.005594106,0,0,0,0,0
L0BF__2,L0BF__2,7.373507728,0,1006.303647,0,-0.610865238,0,0.009647456,0.005594106,0.3371281,0,0,0,0
XC10381,XC10381,7.180138994,0,1006.579806,0,-0.610865238,0,0.00796299,0.005485712,0,0,0,0,0
YC10382,YC10382,7.180138994,0,1006.579806,0,-0.610865238,0,0.00796299,0.005485712,0,0,0,0,0
L0BF__3,L0BF__3,7.180138994,0,1006.579806,0,-0.610865238,0,0.00796299,0.005485712,1.1518479,0,0,0,0
L0BFMID,L0BFMID,6.51946618,0,1007.523345,0,-0.610865238,0,0.003334871,0.005219385,0,0,0,0,0
L0BF__4,L0BF__4,6.51946618,0,1007.523345,0,-0.610865238,0,0.003334871,0.005219385,1.151563,0,0,0,0
XC10411,XC10411,5.858956778,0,1008.46665,0,-0.610865238,0,0.000655069,0.005052134,0,0,0,0,0
YC10412,YC10412,5.858956778,0,1008.46665,0,-0.610865238,0,0.000655069,0.005052134,0,0,0,0,0
L0BF__5,L0BF__5,5.858956778,0,1008.46665,0,-0.610865238,0,0.000655069,0.005052134,0.33514,0,0,0,0
OUTCPBF,OUTCPBF,5.666728371,0,1008.741181,0,-0.610865238,0,0.001311504,0.005015378,0,0,0,0,0
L0BF__6,L0BF__6,5.666728371,0,1008.741181,0,-0.610865238,0,0.001311504,0.005015378,0.060919,0,0,0,0
FLNGBF2,FLNGBF2,5.631786668,0,1008.791083,0,-0.610865238,0,0.001453271,0.005009155,0,0,0,0,0
L0BFWAKE,L0BFWAKE,5.631786668,0,1008.791083,0,-0.610865238,0,0.001453271,0.005009155,0,0,0,0,0
L0BFEND,L0BFEND,5.631786668,0,1008.791083,0,-0.610865238,0,0.001453271,0.005009155,0,0,0,0,0
ENDINJ,ENDINJ,5.631786668,0,1008.791083,0,-0.610865238,0,0.001453271,0.005009155,0,0,0,0,0
BEGDL10,BEGDL10,5.631786668,0,1008.791083,0,-0.610865238,0,0.001453271,0.005009155,0,0,0,0,0
DE00,DE00,5.631786668,0,1008.791083,0,-0.610865238,0,0.001453271,0.005009155,0.041607,0,0,0,0
QE10425,QE10425,5.607921874,0,1008.825165,0,-0.610865238,0,0.001556415,0.005022666,0.054,0,-0.339324219,0,0
BPM10425,BPM10425,5.576948746,0,1008.869399,0,-0.610865238,0,0.001706547,0.004994249,0,0,0,0,0
QE10425,QE10425,5.576948746,0,1008.869399,0,-0.610865238,0,0.001706547,0.004994249,0.054,0,-0.339324219,0,0
DE01A,DE01A,5.545975618,0,1008.913633,0,-0.610865238,0,0.001889373,0.004874514,0.076373,0,0,0,0
IM10431,IM10431,5.502169865,0,1008.976195,0,-0.610865238,0,0.002173271,0.004641497,0,0,0,0,0
DE01B,DE01B,5.502169865,0,1008.976195,0,-0.610865238,0,0.002173271,0.004641497,0.122359,0,0,0,0
VV10435,VV10435,5.431987626,0,1009.076425,0,-0.610865238,0,0.002630737,0.004268467,0,0,0,0,0
DE01C,DE01C,5.431987626,0,1009.076425,0,-0.610865238,0,0.002630737,0.004268467,0.094781,0,0,0,0
QE10441,QE10441,5.377623478,0,1009.154065,0,-0.610865238,0,0.002986503,0.003979818,0.054,0,0.5157405,0,0
QE10441,QE10441,5.34665035,0,1009.198299,0,-0.610865238,0,0.003147138,0.003870292,0.054,0,0.5157405,0,0
DH00,DH00,5.315677223,0,1009.242534,0,-0.610865238,0,0.003220547,0.003868921,0.12733045,0,0,0,0
LH10BEG,LH10BEG,5.242643477,0,1009.346837,0,-0.610865238,0,0.003289258,0.0039929,0,0,0,0,0
BCX10451A,BCX10451A,5.242643477,0,1009.346837,0,-0.610865238,0,0.003289258,0.0039929,0.06224474,-0.065677809,0,0,0
BCX10451B,BCX10451B,5.208640808,0,1009.39896,0,-0.545187429,0,0.003316399,0.004057046,0.062515284,-0.065963274,0,0,0
DH01,DH01,5.17800755,0,1009.453442,0,-0.479224155,0,0.00333341,0.004121608,0.141827114,0,0,0,0
BCX10461A,BCX10461A,5.112612363,0,1009.579293,0,-0.479224155,0,0.003455295,0.004195028,0.062515284,0.065963274,0,0,0
BCX10461B,BCX10461B,5.081979105,0,1009.633776,0,-0.545187429,0,0.003536405,0.004194608,0.06224474,0.065677809,0,0,0
DH02A,DH02A,5.047976436,0,1009.685899,0,-0.610865238,0,0.003587303,0.004194313,0.080967853,0,0,0,0
PR10465,PR10465,5.001535183,0,1009.752224,0,-0.610865238,0,0.003632427,0.004198649,0,0,0,0,0
DH02B,DH02B,5.001535183,0,1009.752224,0,-0.610865238,0,0.003632427,0.004198649,0.084629626,0,0,0,0
HTRUNDF,HTRUNDF,4.80780336,0,1010.028902,0,-0.610865238,0,0.003824375,0.004193891,0,0,0,0,0
DH03A,DH03A,4.662613096,0,1010.236255,0,-0.610865238,0,0.003971776,0.004136448,0.084547711,0,0,0,0
PR10471,PR10471,4.614118522,0,1010.305512,0,-0.610865238,0,0.004021621,0.004109443,0,0,0,0,0
DH03B,DH03B,4.614118522,0,1010.305512,0,-0.610865238,0,0.004021621,0.004109443,0.07458176,0,0,0,0
BCX10475A,BCX10475A,4.571340182,0,1010.366606,0,-0.610865238,0,0.004065829,0.00408582,0.06224474,0.065677809,0,0,0
BCX10475B,BCX10475B,4.533989942,0,1010.416385,0,-0.676543047,0,0.004086522,0.004069648,0.062515284,0.065963274,0,0,0
DH04,DH04,4.493270291,0,1010.463805,0,-0.742506321,0,0.004077398,0.004053541,0.141827114,0,0,0,0
BCX10481A,BCX10481A,4.397375784,0,1010.5683,0,-0.742506321,0,0.004128899,0.003945202,0.062515284,-0.065963274,0,0,0
BCX10481B,BCX10481B,4.356656134,0,1010.61572,0,-0.676543047,0,0.004191297,0.003866665,0.06224474,-0.065677809,0,0,0
LH10END,LH10END,4.319305894,0,1010.665499,0,-0.610865238,0,0.004238576,0.003788624,0,0,0,0,0
DH05A,DH05A,4.319305894,0,1010.665499,0,-0.610865238,0,0.004238576,0.003788624,0.1229007,0,0,0,0
TCY10490,TCY10490,4.248812949,0,1010.766174,0,-0.610865238,0,0.004314716,0.003641253,0.3340118,0,0,0,0
XC10491,XC10491,4.057231651,0,1011.03978,0,-0.610865238,0,0.004523797,0.003244715,0,0,0,0,0
YC10492,YC10492,4.057231651,0,1011.03978,0,-0.610865238,0,0.004523797,0.003244715,0,0,0,0,0
TCY10490,TCY10490,4.057231651,0,1011.03978,0,-0.610865238,0,0.004523797,0.003244715,0.3340118,0,0,0,0
DH05B,DH05B,3.865650353,0,1011.313387,0,-0.610865238,0,0.004735693,0.002855899,0.0521733,0,0,0,0
QE10511,QE10511,3.835724977,0,1011.356124,0,-0.610865238,0,0.004769021,0.002796073,0.054,0,0.466088967,0,0
BPM10511,BPM10511,3.80475185,0,1011.400359,0,-0.610865238,0,0.004743544,0.002769458,0,0,0,0,0
QE10511,QE10511,3.80475185,0,1011.400359,0,-0.610865238,0,0.004743544,0.002769458,0.054,0,0.466088967,0,0
DE03A,DE03A,3.773778722,0,1011.444593,0,-0.610865238,0,0.004598992,0.002813013,0.1454672,0,0,0,0
XC10521,XC10521,3.690342164,0,1011.563753,0,-0.610865238,0,0.004052097,0.003026464,0,0,0,0,0
YC10522,YC10522,3.690342164,0,1011.563753,0,-0.610865238,0,0.004052097,0.003026464,0,0,0,0,0
DE03B,DE03B,3.690342164,0,1011.563753,0,-0.610865238,0,0.004052097,0.003026464,0.136499,0,0,0,0
QE10525,QE10525,3.612049554,0,1011.675566,0,-0.610865238,0,0.003539599,0.003228388,0.054,0,-0.392758774,0,0
BPM10525,BPM10525,3.581076426,0,1011.7198,0,-0.610865238,0,0.003373987,0.003274184,0,0,0,0,0
QE10525,QE10525,3.581076426,0,1011.7198,0,-0.610865238,0,0.003373987,0.003274184,0.054,0,-0.392758774,0,0
DE04A,DE04A,3.550103299,0,1011.764035,0,-0.610865238,0,0.003280236,0.003250855,0.290414154,0,0,0,0
VV10545,VV10545,3.383528583,0,1012.001928,0,-0.610865238,0,0.002968152,0.002942907,0,0,0,0,0
DE04B,DE04B,3.383528583,0,1012.001928,0,-0.610865238,0,0.002968152,0.002942907,0.121500661,0,0,0,0
IN10WALL,IN10WALL,3.313838667,0,1012.101455,0,-0.610865238,0,0.002839697,0.002816238,1.4224,0,0,0,0
DE05A,DE05A,2.497983544,0,1013.266617,0,-0.610865238,0,0.001546645,0.001547777,0.28010032,0,0,0,0
RST10551,RST10551,2.337324601,0,1013.496062,0,-0.610865238,0,0.001392897,0.001399288,0,0,0,0,0
DE05B,DE05B,2.337324601,0,1013.496062,0,-0.610865238,0,0.001392897,0.001399288,0.317702877,0,0,0,0
WS10561,WS10561,2.155097717,0,1013.756309,0,-0.610865238,0,0.001300911,0.001312065,0,0,0,0,0
DE05C1,DE05C1,2.155097717,0,1013.756309,0,-0.610865238,0,0.001300911,0.001312065,0.107734127,0,0,0,0
MRK0F,MRK0F,2.09330396,0,1013.84456,0,-0.610865238,0,0.001293157,0.001305384,0,0,0,0,0
DE05C2,DE05C2,2.09330396,0,1013.84456,0,-0.610865238,0,0.001293157,0.001305384,0.107734127,0,0,0,0
PR10571,PR10571,2.031510203,0,1013.93281,0,-0.610865238,0,0.001297885,0.001310841,0,0,0,0,0
DE05D,DE05D,2.031510203,0,1013.93281,0,-0.610865238,0,0.001297885,0.001310841,0.164986494,0,0,0,0
BPM10581,BPM10581,1.936877838,0,1014.067959,0,-0.610865238,0,0.001328913,0.001342286,0,0,0,0,0
DE05E,DE05E,1.936877838,0,1014.067959,0,-0.610865238,0,0.001328913,0.001342286,0.391744624,0,0,0,0
IM10591,IM10591,1.712182352,0,1014.388858,0,-0.610865238,0,0.00150454,0.001515989,0,0,0,0,0
DE05F,DE05F,1.712182352,0,1014.388858,0,-0.610865238,0,0.00150454,0.001515989,0.15,0,0,0,0
BZ10596,BZ10596,1.626145887,0,1014.51173,0,-0.610865238,0,0.001602341,0.001612301,0,0,0,0,0
DE05G,DE05G,1.626145887,0,1014.51173,0,-0.610865238,0,0.001602341,0.001612301,0.919602315,0,0,0,0
QM10631,QM10631,1.098683668,0,1015.265025,0,-0.610865238,0,0.002408707,0.002406749,0.054,0,0.901597079,0,0
BPM10631,BPM10631,1.06771054,0,1015.309259,0,-0.610865238,0,0.002403911,0.00251931,0,0,0,0,0
QM10631,QM10631,1.06771054,0,1015.309259,0,-0.610865238,0,0.002403911,0.00251931,0.054,0,0.901597079,0,0
DE06A,DE06A,1.036737413,0,1015.353493,0,-0.610865238,0,0.002283047,0.002755449,0.1478721,0,0,0,0
XC10641,XC10641,0.951921461,0,1015.474623,0,-0.610865238,0,0.001800019,0.003581234,0,0,0,0,0
YC10642,YC10642,0.951921461,0,1015.474623,0,-0.610865238,0,0.001800019,0.003581234,0,0,0,0,0
DE06B,DE06B,0.951921461,0,1015.474623,0,-0.610865238,0,0.001800019,0.003581234,0.29995,0,0,0,0
QM10651,QM10651,0.779877209,0,1015.720327,0,-0.610865238,0,0.000865467,0.005259309,0.054,0,-0.673244763,0,0
BPM10651,BPM10651,0.748904081,0,1015.764562,0,-0.610865238,0,0.000732682,0.005464485,0,0,0,0,0
QM10651,QM10651,0.748904081,0,1015.764562,0,-0.610865238,0,0.000732682,0.005464485,0.054,0,-0.673244763,0,0
DE07,DE07,0.717930954,0,1015.808796,0,-0.610865238,0,0.000644081,0.005471641,0.22345,0,0,0,0
BX0FBEG,BX0FBEG,0.589765299,0,1015.991835,0,-0.610865238,0,0.000648963,0.005089083,0,0,0,0,0
BX10661A,BX10661A,0.589765299,0,1015.991835,0,-0.610865238,0,0.000648963,0.005089083,0.101996001,-0.152716307,0,0,0
BX10661B,BX10661B,0.537857285,0,1016.07952,0,-0.458148929,0,0.000831498,0.00479475,0.101996001,-0.152716308,0,0,0
DB00A,DB00A,0.499892237,0,1016.17408,0,-0.305432619,0,0.001201467,0.004518584,0.3997,0,0,0,0
PR10711,PR10711,0.379700129,0,1016.555281,0,-0.305432619,0,0.003789674,0.003081282,0,0,0,0,0
DB00B,DB00B,0.379700129,0,1016.555281,0,-0.305432619,0,0.003789674,0.003081282,0.161,0,0,0,0
XC10721,XC10721,0.331286495,0,1016.708829,0,-0.305432619,0,0.00489605,0.002505312,0,0,0,0,0
YC10722,YC10722,0.331286495,0,1016.708829,0,-0.305432619,0,0.00489605,0.002505312,0,0,0,0,0
DB00C,DB00C,0.331286495,0,1016.708829,0,-0.305432619,0,0.00489605,0.002505312,0.1657,0,0,0,0
QB10731,QB10731,0.281459544,0,1016.86686,0,-0.305432619,0,0.006041838,0.001916738,0.0534,0,1.183862062,0,0
BPM10731,BPM10731,0.265401855,0,1016.917788,0,-0.305432619,0,0.006218142,0.001787587,0,0,0,0,0
QB10731,QB10731,0.265401855,0,1016.917788,0,-0.305432619,0,0.006218142,0.001787587,0.0534,0,1.183862062,0,0
DB01A,DB01A,0.249344165,0,1016.968717,0,-0.305432619,0,0.006003764,0.001773179,0.2,0,0,0,0
CDL10,CDL10,0.189203005,0,1017.15946,0,-0.305432619,0,0.004482138,0.001938365,0.05,0,0,0,0
DB01B,DB01B,0.174167715,0,1017.207146,0,-0.305432619,0,0.004103399,0.001981776,0.1132,0,0,0,0
DB01C,DB01C,0.140127818,0,1017.315107,0,-0.305432619,0,0.003250484,0.002082714,0.3632,0,0,0,0
BX10751A,BX10751A,0.030911472,0,1017.661497,0,-0.305432619,0,0.000803843,0.00242652,0.101996001,-0.152716308,0,0,0
BX10751B,BX10751B,0.007773102,0,1017.760732,0,-0.15271631,0,0.000831529,0.002478345,0.101996001,-0.15271631,0,0,0
CNT0F,CNT0F,0,0,1017.862332,0,0,0,0.001191936,0.002531647,0,0,0,0,0
BX0FEND,BX0FEND,0,0,1017.862332,0,0,0,0.001191936,0.002531647,0,0,0,0,0
DM00A,DM00A,0,0,1017.862332,0,0,0,0.001191936,0.002531647,0.2213,0,0,0,0
XC10761,XC10761,0,0,1018.083632,0,0,0,0.002084322,0.002541192,0,0,0,0,0
YC10762,YC10762,0,0,1018.083632,0,0,0,0.002084322,0.002541192,0,0,0,0,0
DM00B,DM00B,0,0,1018.083632,0,0,0,0.002084322,0.002541192,0.140683,0,0,0,0
QM10771,QM10771,0,0,1018.224315,0,0,0,0.002660535,0.002550831,0.054,0,-0.375755114,0,0
BPM10771,BPM10771,0,0,1018.278315,0,0,0,0.002910254,0.002529412,0,0,0,0,0
QM10771,QM10771,0,0,1018.278315,0,0,0,0.002910254,0.002529412,0.054,0,-0.375755114,0,0
DM01,DM01,0,0,1018.332315,0,0,0,0.003219398,0.002457172,0.297167,0,0,0,0
QM10781,QM10781,0,0,1018.629482,0,0,0,0.00509688,0.001930792,0.054,0,0.679329474,0,0
BPM10781,BPM10781,0,0,1018.683482,0,0,0,0.005343008,0.001872594,0,0,0,0,0
QM10781,QM10781,0,0,1018.683482,0,0,0,0.005343008,0.001872594,0.054,0,0.679329474,0,0
DM02A,DM02A,0,0,1018.737482,0,0,0,0.005393778,0.001884315,0.1402,0,0,0,0
IM10791,IM10791,0,0,1018.877682,0,0,0,0.005268958,0.002008509,0,0,0,0,0
DM02B,DM02B,0,0,1018.877682,0,0,0,0.005268958,0.002008509,0.057448,0,0,0,0
VV10795,VV10795,0,0,1018.93513,0,0,0,0.0052179,0.002061074,0,0,0,0,0
DM02C,DM02C,0,0,1018.93513,0,0,0,0.0052179,0.002061074,0.1,0,0,0,0
ENDDL10,ENDDL10,0,0,1019.03513,0,0,0,0.005129151,0.002154604,0,0,0,0,0
BEGL1F,BEGL1F,0,0,1019.03513,0,0,0,0.005129151,0.002154604,0,0,0,0,0
K11_1B1,K11_1B1,0,0,1019.03513,0,0,0,0.005129151,0.002154604,0.453432,0,0,0,0
XC11104,XC11104,0,0,1019.488562,0,0,0,0.004621591,0.002544743,0,0,0,0,0
YC11105,YC11105,0,0,1019.488562,0,0,0,0.004621591,0.002544743,0,0,0,0,0
K11_1B2,K11_1B2,0,0,1019.488562,0,0,0,0.004621591,0.002544743,2.415768,0,0,0,0
DAQA1,DAQA1,0,0,1021.90433,0,0,0,0.002354149,0.004605529,0.03687,0,0,0,0
QA11132,QA11132,0,0,1021.9412,0,0,0,0.002329261,0.004641918,0.054,0,-0.163718321,0,0
BPM11132,BPM11132,0,0,1021.9952,0,0,0,0.002303327,0.004674664,0,0,0,0,0
QA11132,QA11132,0,0,1021.9952,0,0,0,0.002303327,0.004674664,0.054,0,-0.163718321,0,0
DAQA2,DAQA2,0,0,1022.0492,0,0,0,0.002298096,0.004666152,0.03003,0,0,0,0
K11_1C1,K11_1C1,0,0,1022.07923,0,0,0,0.002300979,0.00464995,0.6689,0,0,0,0
XC11140,XC11140,0,0,1022.74813,0,0,0,0.002346722,0.004213705,0,0,0,0,0
YC11141,YC11141,0,0,1022.74813,0,0,0,0.002346722,0.004213705,0,0,0,0,0
K11_1C2,K11_1C2,0,0,1022.74813,0,0,0,0.002346722,0.004213705,2.3752,0,0,0,0
K11_1D,K11_1D,0,0,1025.12333,0,0,0,0.002785779,0.002854908,3.0441,0,0,0,0
DAQ1,DAQ1,0,0,1028.16743,0,0,0,0.003628377,0.00174025,0.0342,0,0,0,0
Q11201,Q11201,0,0,1028.20163,0,0,0,0.003641018,0.00173523,0.0534,0,0.094659807,0,0
BPM11201,BPM11201,0,0,1028.25503,0,0,0,0.003651576,0.001732112,0,0,0,0,0
Q11201,Q11201,0,0,1028.25503,0,0,0,0.003651576,0.001732112,0.0534,0,0.094659807,0,0
DAQ2,DAQ2,0,0,1028.30843,0,0,0,0.003643729,0.001738167,0.027,0,0,0,0
K11_2A1,K11_2A1,0,0,1028.33543,0,0,0,0.003635116,0.001743602,0.3256,0,0,0,0
XC11202,XC11202,0,0,1028.66103,0,0,0,0.003508911,0.001805071,0,0,0,0,0
K11_2A2,K11_2A2,0,0,1028.66103,0,0,0,0.003508911,0.001805071,0.287,0,0,0,0
YC11203,YC11203,0,0,1028.94803,0,0,0,0.003400617,0.001869636,0,0,0,0,0
K11_2A3,K11_2A3,0,0,1028.94803,0,0,0,0.003400617,0.001869636,2.4315,0,0,0,0
K11_2B,K11_2B,0,0,1031.37953,0,0,0,0.00259603,0.002641008,2.8692,0,0,0,0
DAQA3,DAQA3,0,0,1034.24873,0,0,0,0.001998156,0.003716933,0.03345,0,0,0,0
QA11265,QA11265,0,0,1034.28218,0,0,0,0.001995157,0.003731641,0.054,0,0,0,0
BPM11265,BPM11265,0,0,1034.33618,0,0,0,0.001990462,0.003755407,0,0,0,0,0
QA11265,QA11265,0,0,1034.33618,0,0,0,0.001990462,0.003755407,0.054,0,0,0,0
DAQA4,DAQA4,0,0,1034.39018,0,0,0,0.001985945,0.0037792,0.03345,0,0,0,0
K11_2C1,K11_2C1,0,0,1034.42363,0,0,0,0.001983238,0.003793952,0.5,0,0,0,0
XC11272,XC11272,0,0,1034.92363,0,0,0,0.001928478,0.003968828,0,0,0,0,0
YC11273,YC11273,0,0,1034.92363,0,0,0,0.001928478,0.003968828,0,0,0,0,0
K11_2C2,K11_2C2,0,0,1034.92363,0,0,0,0.001928478,0.003968828,2.5441,0,0,0,0
DAQA5,DAQA5,0,0,1037.46773,0,0,0,0.001904155,0.004819149,0.05596962,0,0,0,0
Q11301,Q11301,0,0,1037.5237,0,0,0,0.001910155,0.00484278,0.0534,0,-0.169007398,0,0
BPM11301,BPM11301,0,0,1037.5771,0,0,0,0.001924669,0.004843465,0,0,0,0,0
Q11301,Q11301,0,0,1037.5771,0,0,0,0.001924669,0.004843465,0.0534,0,-0.169007398,0,0
DAQA6,DAQA6,0,0,1037.6305,0,0,0,0.001956714,0.00480048,0.15733138,0,0,0,0
VV11302,VV11302,0,0,1037.787831,0,0,0,0.002077767,0.00460983,0,0,0,0,0
DL1X,DL1X,0,0,1037.787831,0,0,0,0.002077767,0.00460983,0.14146862,0,0,0,0
L1XFBEG,L1XFBEG,0,0,1037.9293,0,0,0,0.002187494,0.004438482,0,0,0,0,0
L1XF__1,L1XF__1,0,0,1037.9293,0,0,0,0.002187494,0.004438482,0.2974,0,0,0,0
XC11304,XC11304,0,0,1038.2267,0,0,0,0.002420798,0.004079298,0,0,0,0,0
YC11305,YC11305,0,0,1038.2267,0,0,0,0.002420798,0.004079298,0,0,0,0,0
L1XF__2,L1XF__2,0,0,1038.2267,0,0,0,0.002420798,0.004079298,0.2974,0,0,0,0
L1XFEND,L1XFEND,0,0,1038.5241,0,0,0,0.002656515,0.003720469,0,0,0,0,0
DM10A,DM10A,0,0,1038.5241,0,0,0,0.002656515,0.003720469,0.26360938,0,0,0,0
VV11308,VV11308,0,0,1038.787709,0,0,0,0.002866546,0.003402283,0,0,0,0,0
ENDL1F,ENDL1F,0,0,1038.787709,0,0,0,0.002866546,0.003402283,0,0,0,0,0
BEGBC11,BEGBC11,0,0,1038.787709,0,0,0,0.002866546,0.003402283,0,0,0,0,0
