CADCellName,Label,X,Y,Z,XANG,YANG,ZANG,SC_X,SC_Y,L,K0L,K1L,K2L,K3L
DL00,DL00,10.15919962,0,1002.325267,0,-0.610865238,0,0.007543169,0.007913715,-0.869048,0,0,0,0
LOADLOCKF,LOADLOCKF,10.65766507,0,1001.613384,0,-0.610865238,0,0.01521654,0.016379434,0.869048,0,0,0,0
BEGINJ,BEGINJ,10.15919962,0,1002.325267,0,-0.610865238,0,0.007543169,0.007913715,0,0,0,0,0
SOL10111,SOL10111,10.15919962,0,1002.325267,0,-0.610865238,0,0.007543169,0.007913715,1.00E-09,0,0,0,0
CATHODEF,CATHODEF,10.15919962,0,1002.325267,0,-0.610865238,0,0.007543169,0.007913715,0,0,0,0,0
DL01A,DL01A,10.15919962,0,1002.325267,0,-0.610865238,0,0.007543169,0.007913715,0.09601,0,0,0,0
SOL10121,SOL10121,10.10413055,0,1002.403914,0,-0.610865238,0,0.006766227,0.007038422,0.1,0,0,0,0
CQ10121,CQ10121,10.0467729,0,1002.485829,0,-0.610865238,0,0.005994327,0.006160021,5.00E-10,0,0,0,0
CQ10121,CQ10121,10.0467729,0,1002.485829,0,-0.610865238,0,0.005994327,0.006160021,5.00E-10,0,0,0,0
XC10121,XC10121,10.0467729,0,1002.485829,0,-0.610865238,0,0.005994327,0.006160021,0,0,0,0,0
YC10122,YC10122,10.0467729,0,1002.485829,0,-0.610865238,0,0.005994327,0.006160021,0,0,0,0,0
SQ10122,SQ10122,10.0467729,0,1002.485829,0,-0.610865238,0,0.005994327,0.006160021,5.00E-10,0,0,0,0
SQ10122,SQ10122,10.0467729,0,1002.485829,0,-0.610865238,0,0.005994327,0.006160021,5.00E-10,0,0,0,0
SOL10121,SOL10121,10.0467729,0,1002.485829,0,-0.610865238,0,0.005994327,0.006160021,0.1,0,0,0,0
DL01B,DL01B,9.989415257,0,1002.567744,0,-0.610865238,0,0.005277028,0.005332137,0.07851,0,0,0,0
VV10155,VV10155,9.944383771,0,1002.632056,0,-0.610865238,0,0.004768261,0.00473489,0,0,0,0,0
DL01C,DL01C,9.944383771,0,1002.632056,0,-0.610865238,0,0.004768261,0.00473489,0.11609,0,0,0,0
MIR10181,MIR10181,9.877797283,0,1002.727151,0,-0.610865238,0,0.004144019,0.003984652,0,0,0,0,0
DL01D2,DL01D2,9.877797283,0,1002.727151,0,-0.610865238,0,0.004144019,0.003984652,0.219,0,0,0,0
XC10221,XC10221,9.752184043,0,1002.906545,0,-0.610865238,0,0.003626799,0.003341603,0,0,0,0,0
YC10222,YC10222,9.752184043,0,1002.906545,0,-0.610865238,0,0.003626799,0.003341603,0,0,0,0,0
DL01E2,DL01E2,9.752184043,0,1002.906545,0,-0.610865238,0,0.003626799,0.003341603,0.15,0,0,0,0
PR10241,PR10241,9.666147578,0,1003.029418,0,-0.610865238,0,0.003909637,0.003700554,0,0,0,0,0
DL01F2,DL01F2,9.666147578,0,1003.029418,0,-0.610865238,0,0.003909637,0.003700554,0.11,0,0,0,0
L0AFBEG,L0AFBEG,9.60305417,0,1003.119525,0,-0.610865238,0,0.004401398,0.004303636,0,0,0,0,0
FLNGAF1,FLNGAF1,9.60305417,0,1003.119525,0,-0.610865238,0,0.004401398,0.004303636,0,0,0,0,0
L0AF__1,L0AF__1,9.60305417,0,1003.119525,0,-0.610865238,0,0.004401398,0.004303636,0.058646,0,0,0,0
DLFDAF,DLFDAF,9.569416206,0,1003.167565,0,-0.610865238,0,0.004341242,0.004312173,0,0,0,0,0
L0AF__2,L0AF__2,9.569416206,0,1003.167565,0,-0.610865238,0,0.004341242,0.004312173,0.199354,0,0,0,0
L0AF__3,L0AF__3,9.455071449,0,1003.330866,0,-0.610865238,0,0.004372742,0.004516037,0.6493198,0,0,0,0
XC10311,XC10311,9.082636912,0,1003.862758,0,-0.610865238,0,0.005030285,0.005418,0,0,0,0,0
YC10312,YC10312,9.082636912,0,1003.862758,0,-0.610865238,0,0.005030285,0.005418,0,0,0,0,0
L0AF__4,L0AF__4,9.082636912,0,1003.862758,0,-0.610865238,0,0.005030285,0.005418,0.6403022,0,0,0,0
L0AFMID,L0AFMID,8.715374658,0,1004.387263,0,-0.610865238,0,0.005650895,0.006129009,0,0,0,0,0
L0AF__5,L0AF__5,8.715374658,0,1004.387263,0,-0.610865238,0,0.005650895,0.006129009,1.1518464,0,0,0,0
L0AF__6,L0AF__6,8.054702705,0,1005.3308,0,-0.610865238,0,0.006505317,0.007056098,0.3348566,0,0,0,0
