"Element","Area","Type","Control System Name","Area2","Component Name","Component Comments","Slc Name","Symbols Upload Id","Ltu Upload Id","First Sourced From","Active","Filename","Sector","Sector Location","Undulator Cell","Keyword","Barcode","Engineering Name","SumL (m)","SumL (ft)","Linac Z (m)","Linac Z (ft)","Ltu SumL (m)","Ltu SumL (ft)","Ltu Linac Z (m)","Ltu Linac Z (ft)","Local Area Drawing","Irmis Ioc Names","Element Comment","Sections","Begin Dbmark","Begin SumL (m)","End Dbmark","End SumL (m)","Bsa Device","Obstruction","Effective Length (m)","Rf Frequency (MHz)","Rf Amplitude (MeV)","Rf Phase (deg)","Rf Gradient (MeV/m)","Rf Power Fraction","Z Length (m)","Fringe Field Integral","Integrated Field BL (kG-m)","Field B (T)","Integrated Field Grad GL (kG)","Field Gradient G (T/m)","Xal Scale Name","Xal Scale Value","Xal Polarity","Magnet X Coor (m)","Magnet Y Coor (m)","Magnet Z Coor (m)","Magnet X Angle (rad)","Magnet Y Angle (rad)","Magnet Z Angle (rad)","Solenoid Strength KS (1/m)","Undulator Period Length (m)","Undulator Strength K","X Size (m)","Y Size (m)","Section","Dist From Section Start (m)","Xal Keyword","S Display","Ltu Rf Frequency (MHz)","Ltu Rf Amplitude (MeV)","Ltu Rf Phase (deg)","Ltu Rf Gradient (MeV/m)","Ltu Rf Power Fraction","Ltu Z Length (m)","Ltu Fringe Field Integral","Ltu Integrated Field BL (kG-m)","Ltu Field B (T)","Ltu Integrated Field Grad GL (kG)","Ltu Field Gradient G (T/m)","Ltu Xal Scale Name","Ltu Xal Scale Value","Ltu Xal Polarity","Ltu Magnet X Coor","Ltu Magnet Y Coor","Ltu Magnet Z Coor","Ltu Magnet X Angle","Ltu Magnet Y Angle","Ltu Magnet Z Angle","Ltu Solenoid Strength Ks","Ltu Undulator Period Length","Ltu Undulator Strength K","Ltu X Size","Ltu Y Size","Ltu Section","Ltu Dist From Section Start","Ltu Xal Keyword","Ltu S Display","Ioc Captar Search","Slc Captar Search","Operation Status","Op Status Date","Beampath"
"YAG01B_FCUP","GUNB","MAD","","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","INST","","FARADAY CUP","1.490314","4.889482","-8.554353","-28.065463","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.490314","INST","-8.554353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CQ02B","GUNB","MAD","QUAD:GUNB:823:1","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","QUAD","4266","3.37Q1.2","1.570314","5.151949","-8.474353","-27.802995","","","","","","","","	- NO SECTION -","","","","","N","N",".0453","","","","","","","","","","0","0","KG2T_GDL2G","2.207505518764","-1","","","","","","","","","","","","CATHODE TO DIAG0","1.570314","QUAD","-8.474353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:GUNB%25","QUAD:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"SOL2B","GUNB","MAD","SOLN:GUNB:823","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","SOLE","4050","LBNL","1.64581","5.399639","-8.398857","-27.555305","","","","","","","","	- NO SECTION -","","","","","N","N",".0869","","","","","","","","0","0","","","KG2T_BDL2B","1.150747986191","-1","","","","","","","0","","","","","CATHODE TO DIAG0","1.64581","SOLE","-8.398857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOLN:GUNB%25","SOLN:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"SQ02B","GUNB","MAD","QUAD:GUNB:823:2","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","QUAD","4050SQ","SOLENOID TRIM","1.64581","5.399639","-8.398857","-27.555305","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO DIAG0","1.64581","QUAD","-8.398857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:GUNB%25","QUAD:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"VV02B","GUNB","MAD","","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","INST","","","1.78278","5.849016","-8.261887","-27.105928","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.78278","INST","-8.261887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"BPM2B","GUNB","MAD","BPMS:GUNB:925","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","BPM","","STRIPLINE-4","1.884224","6.181837","-8.160443","-26.773107","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.884224","BPM","-8.160443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:GUNB%25","BPMS:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"XC05B","GUNB","MAD","XCOR:GUNB:927","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","XCOR","4653X","LBNL-XY","1.888764","6.196732","-8.155903","-26.758212","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.888764","XCOR","-8.155903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"YC05B","GUNB","MAD","YCOR:GUNB:927","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","YCOR","4653Y","LBNL-XY","1.888764","6.196732","-8.155903","-26.758212","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.888764","YCOR","-8.155903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"BEGL0B","L0B","MAD","","","","","","289","","SYMBOLS","A","AD_ACCEL","","","","INST","","","2.052577","6.734177","-7.99209","-26.220768","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","2.052577","MARK","-7.99209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","",""
"ENDGUNB","GUNB","MAD","","","","","","289","","SYMBOLS","A","AD_ACCEL","","","","INST","","","2.052577","6.734177","-7.99209","-26.220768","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","2.052577","MARK","-7.99209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","",""
"CAVL011","L0B","MAD","ACCL:L0B:0110","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","LCAV","","F1.3-19","3.342827","10.96728","-6.70184","-21.987664","","","","","","","","	- NO SECTION -","","","","","N","N","1.037743","1300","6.558536543","-2.00000000016","6.320000754522","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","3.342827","BNCH","-6.70184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CAVL012","L0B","MAD","ACCL:L0B:0120","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","LCAV","","F1.3-19","4.726427","15.50665","-5.31824","-17.448294","","","","","","","","	- NO SECTION -","","","","","N","N","1.037743","1300","1.639634136","-20.0000000016","1.580000188871","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","4.726427","BNCH","-5.31824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CAVL013","L0B","MAD","ACCL:L0B:0130","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","LCAV","","F1.3-19","6.110027","20.04602","-3.93464","-12.908924","","","","","","","","	- NO SECTION -","","","","","N","N","1.037743","1300","9.827427383","2.99999999988","9.470001130338","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","6.110027","BNCH","-3.93464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CAVL014","L0B","MAD","ACCL:L0B:0140","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","LCAV","","F1.3-19","7.493627","24.58539","-2.55104","-8.369554","","","","","","","","	- NO SECTION -","","","","","N","N","1.037743","1300","2.018418306","-10.0000000008","1.945007873818","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","7.493627","BNCH","-2.55104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CAVL015","L0B","MAD","ACCL:L0B:0150","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","LCAV","","F1.3-19","8.877227","29.12476","-1.16744","-3.830184","","","","","","","","	- NO SECTION -","","","","","N","N","1.037744","1300","17.226535858","0","16.59998598691","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","8.877227","BNCH","-1.16744000005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CSP01","L0B","MAD","","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","INST","","","9.017577","29.585226","-1.02709","-3.369718","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","9.017577","INST","-1.02709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CAVL016","L0B","MAD","ACCL:L0B:0160","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S01","","","LCAV","","F1.3-19","10.260826999","33.664131",".21616",".709186","","","","","","","","	- NO SECTION -","","","","","N","N","1.037743","1300","17.22653586","0","16.600001985077","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","10.260826999","BNCH",".21616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CAVL017","L0B","MAD","ACCL:L0B:0170","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S01","","","LCAV","","F1.3-19","11.644427","38.203501","1.59976","5.248556","","","","","","","","	- NO SECTION -","","","","","N","N","1.037743","1300","17.22653586","1.24999999992","16.600001985077","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","11.644427","BNCH","1.59976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CAVL018","L0B","MAD","ACCL:L0B:0180","L0B","","","","289","","SYMBOLS","A","AD_ACCEL","S01","","","LCAV","","F1.3-19","13.028027","42.742871","2.98336","9.787927","","","","","","","","	- NO SECTION -","","","","","N","N","1.037743","1300","17.22653586","6.0000000012","16.600001985077","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","13.028027","BNCH","2.98336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:L0B%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
