"Element","Area","Type","Control System Name","Area2","Component Name","Component Comments","Slc Name","Symbols Upload Id","Ltu Upload Id","First Sourced From","Active","Filename","Sector","Sector Location","Undulator Cell","Keyword","Barcode","Engineering Name","SumL (m)","SumL (ft)","Linac Z (m)","Linac Z (ft)","Ltu SumL (m)","Ltu SumL (ft)","Ltu Linac Z (m)","Ltu Linac Z (ft)","Local Area Drawing","Irmis Ioc Names","Element Comment","Sections","Begin Dbmark","Begin SumL (m)","End Dbmark","End SumL (m)","Bsa Device","Obstruction","Effective Length (m)","Rf Frequency (MHz)","Rf Amplitude (MeV)","Rf Phase (deg)","Rf Gradient (MeV/m)","Rf Power Fraction","Z Length (m)","Fringe Field Integral","Integrated Field BL (kG-m)","Field B (T)","Integrated Field Grad GL (kG)","Field Gradient G (T/m)","Xal Scale Name","Xal Scale Value","Xal Polarity","Magnet X Coor (m)","Magnet Y Coor (m)","Magnet Z Coor (m)","Magnet X Angle (rad)","Magnet Y Angle (rad)","Magnet Z Angle (rad)","Solenoid Strength KS (1/m)","Undulator Period Length (m)","Undulator Strength K","X Size (m)","Y Size (m)","Section","Dist From Section Start (m)","Xal Keyword","S Display","Ltu Rf Frequency (MHz)","Ltu Rf Amplitude (MeV)","Ltu Rf Phase (deg)","Ltu Rf Gradient (MeV/m)","Ltu Rf Power Fraction","Ltu Z Length (m)","Ltu Fringe Field Integral","Ltu Integrated Field BL (kG-m)","Ltu Field B (T)","Ltu Integrated Field Grad GL (kG)","Ltu Field Gradient G (T/m)","Ltu Xal Scale Name","Ltu Xal Scale Value","Ltu Xal Polarity","Ltu Magnet X Coor","Ltu Magnet Y Coor","Ltu Magnet Z Coor","Ltu Magnet X Angle","Ltu Magnet Y Angle","Ltu Magnet Z Angle","Ltu Solenoid Strength Ks","Ltu Undulator Period Length","Ltu Undulator Strength K","Ltu X Size","Ltu Y Size","Ltu Section","Ltu Dist From Section Start","Ltu Xal Keyword","Ltu S Display","Ioc Captar Search","Slc Captar Search","Operation Status","Op Status Date","Beampath"
"SOL1BKB","GUNB","MAD","SOLN:GUNB:100","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","SOLE","4051T","BUCKING COIL","-.071705","-.235253","-10.116372","-33.190197","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","0","0","","","KG2T",".1","-1","","","","","","","0","","","","","CATHODE TO DIAG0","-.071705","SOLE","-10.116372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOLN:GUNB%25","SOLN:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"BEGGUNB","GUNB","MAD","","","","","","289","","SYMBOLS","A","AD_ACCEL","","","","INST","","","0","0","-10.044667","-32.954944","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","0","MARK","-10.044667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","",""
"CATHODEB","GUNB","MAD","CATH:GUNB:100","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","INST","","","0","0","-10.044667","-32.954944","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","0","INST","-10.044667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CATH:GUNB%25","CATH:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"CQ01B","GUNB","MAD","QUAD:GUNB:212:1","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","QUAD","4051Q","SOLENOID TRIM",".24653",".808825","-9.798137","-32.146119","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO DIAG0",".24653","QUAD","-9.798137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:GUNB%25","QUAD:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"SOL1B","GUNB","MAD","SOLN:GUNB:212","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","SOLE","4051","LBNL",".24653",".808825","-9.798137","-32.146119","","","","","","","","	- NO SECTION -","","","","","N","N",".0861","","","","","","","","0","0","","","KG2T_BDL2B","1.16144018583","-1","","","","","","","0","","","","","CATHODE TO DIAG0",".24653","SOLE","-9.798137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOLN:GUNB%25","SOLN:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"SQ01B","GUNB","MAD","QUAD:GUNB:212:2","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","QUAD","4051SQ","SOLENOID TRIM",".24653",".808825","-9.798137","-32.146119","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO DIAG0",".24653","QUAD","-9.798137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:GUNB%25","QUAD:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"VV01B","GUNB","MAD","","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","INST","","",".38748","1.27126","-9.657187","-31.683684","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".38748","INST","-9.657187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"XC01B","GUNB","MAD","XCOR:GUNB:293","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","XCOR","4649X","LBNL-XY",".4845","1.589567","-9.560167","-31.365377","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".4845","XCOR","-9.560167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"YC01B","GUNB","MAD","YCOR:GUNB:293","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","YCOR","4649Y","LBNL-XY",".4845","1.589567","-9.560167","-31.365377","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".4845","YCOR","-9.560167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"BPM1B","GUNB","MAD","BPMS:GUNB:314","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","BPM","","STRIPLINE-4",".48965","1.606463","-9.555017","-31.348481","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".48965","BPM","-9.555017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:GUNB%25","BPMS:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"IM01B","GUNB","MAD","TORO:GUNB:360","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","IMON","","ICT",".594692","1.951089","-9.449975","-31.003855","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".594692","TORO","-9.449975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TORO:GUNB%25","TORO:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"XC02B","GUNB","MAD","XCOR:GUNB:388","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","XCOR","4650X","LBNL-XY",".6701","2.198491","-9.374567","-30.756453","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".6701","XCOR","-9.374567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"YC02B","GUNB","MAD","YCOR:GUNB:388","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","YCOR","4650Y","LBNL-XY",".6701","2.198491","-9.374567","-30.756453","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".6701","YCOR","-9.374567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"BUN1B","GUNB","MAD","ACCL:GUNB:455","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","LCAV","","LBNL",".809116","2.65458","-9.235551","-30.300364","","","","","","","","	- NO SECTION -","","","","","N","N",".21876","1300",".393768","-84.999999996","1.8","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".809116","BNCH","-9.235551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:GUNB%25","ACCL:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"XC03B","GUNB","MAD","XCOR:GUNB:513","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","XCOR","4651X","LBNL-XY",".9642","3.163386","-9.080467","-29.791558","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".9642","XCOR","-9.080467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"YC03B","GUNB","MAD","YCOR:GUNB:513","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","YCOR","4651Y","LBNL-XY",".9642","3.163386","-9.080467","-29.791558","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".9642","YCOR","-9.080467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"XC04B","GUNB","MAD","XCOR:GUNB:713","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","XCOR","4652X","LBNL-XY","1.369","4.49147","-8.675667","-28.463474","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.369","XCOR","-8.675667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"YC04B","GUNB","MAD","YCOR:GUNB:713","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","YCOR","4652Y","LBNL-XY","1.369","4.49147","-8.675667","-28.463474","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.369","YCOR","-8.675667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25","Commissioned, Online","12/02/2017","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"YAG01B","GUNB","MAD","MOVR:GUNB:753","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","PROF","","YAG","1.490314","4.889482","-8.554353","-28.065463","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","1.490314","PROF","-8.554353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOVR:GUNB%25","MOVR:%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
"YAG01B_COLL","GUNB","MAD","","GUNB","","","","289","","SYMBOLS","A","AD_ACCEL","S00","","","PC","","COLLIMATOR","1.490314","4.889482","-8.554353","-28.065463","","","","","","","","	- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","","","","","","","","","","","0","0","CATHODE TO DIAG0","1.490314","ECOL","-8.554353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25","","","SC_BSYD, SC_DASEL, SC_DIAG0, SC_HXR, SC_S2_X, SC_SFTS, SC_STMO, SC_STXI, SC_SXR,"
